VM Enforcer Group,VM Name,VM Type,Vulnerability Name,Severity,Custom Severity,Fix Version,Resource,Resource Path,Resource Type,Format,CPE,Exploit Type,Publish Date,Last VM Scan Date,Exploit Availability,First Found on VM,CISA Published Date
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2024:1461,high,,4.14.18,libslirp,,package,rpm,pkg:/rhcos:4.14_el8:libslirp:4.4.0-7.el9,,2024-03-27,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2023:7201,high,,,crun,,package,rpm,pkg:/rhcos:4.14_el8:crun:1.14-1.rhaos4.14.el9,,2024-02-27,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2024:0645,high,,4.14.11,crun,,package,rpm,pkg:/rhcos:4.14_el8:crun:1.14-1.rhaos4.14.el9,,2024-02-07,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2024:1563,high,,,runc,,package,rpm,pkg:/rhcos:4.14_el8:runc:4:1.1.12-1.2.rhaos4.14.el9,,2024-04-02,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2024:1892,high,,,runc,,package,rpm,pkg:/rhcos:4.14_el8:runc:4:1.1.12-1.2.rhaos4.14.el9,,2024-04-26,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2023:7201,high,,,runc,,package,rpm,pkg:/rhcos:4.14_el8:runc:4:1.1.12-1.2.rhaos4.14.el9,,2024-02-27,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2024:1897,high,,4.14.22,runc,,package,rpm,pkg:/rhcos:4.14_el8:runc:4:1.1.12-1.2.rhaos4.14.el9,,2024-04-26,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2024:0645,high,,4.14.11,runc,,package,rpm,pkg:/rhcos:4.14_el8:runc:4:1.1.12-1.2.rhaos4.14.el9,,2024-02-07,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2024:1567,high,,4.14.19,runc,,package,rpm,pkg:/rhcos:4.14_el8:runc:4:1.1.12-1.2.rhaos4.14.el9,,2024-04-03,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2024:1461,high,,4.14.18,toolbox,,package,rpm,pkg:/rhcos:4.14_el8:toolbox:0.1.2-1.rhaos4.14.el9,,2024-03-27,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2024:1461,high,,4.14.18,slirp4netns,,package,rpm,pkg:/rhcos:4.14_el8:slirp4netns:1.2.0-3.el9,,2024-03-27,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2023:7201,high,,,coreos-installer,,package,rpm,pkg:/rhcos:4.14_el8:coreos-installer:0.17.0-2.el9_2,,2024-02-27,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2024:1563,high,,,containernetworking-plugins,,package,rpm,pkg:/rhcos:4.14_el8:containernetworking-plugins:1:1.2.0-1.el9,,2024-04-02,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2024:1892,high,,,containernetworking-plugins,,package,rpm,pkg:/rhcos:4.14_el8:containernetworking-plugins:1:1.2.0-1.el9,,2024-04-26,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2023:7201,high,,,containernetworking-plugins,,package,rpm,pkg:/rhcos:4.14_el8:containernetworking-plugins:1:1.2.0-1.el9,,2024-02-27,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2024:1897,high,,4.14.22,containernetworking-plugins,,package,rpm,pkg:/rhcos:4.14_el8:containernetworking-plugins:1:1.2.0-1.el9,,2024-04-26,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2023:5009,high,,4.14.0,containernetworking-plugins,,package,rpm,pkg:/rhcos:4.14_el8:containernetworking-plugins:1:1.2.0-1.el9,,2023-10-31,2024-11-25,,2024-09-04,
SCL_OCP_Prd_Aqua_Enforcer,vdpvocpwdapls01.ocp.venetian.com.mo,agent,RHSA-2024:0207,high,,4.14.9,containernetworking-plugins,,package,rpm,pkg:/rhcos:4.14_el8:containernetworking-plugins:1:1.2.0-1.el9,,2024-01-17,2024-11-25,,2024-09-04,
